day	num_rats	Status
2012-02-04	18	Closed
2012-02-04	3	Pending
2012-02-05	5	Closed
2012-02-05	3	Pending
2012-02-06	18	Closed
2012-02-06	3	Pending
2012-02-07	4	Pending
2012-02-07	17	Closed
2012-02-08	5	Pending
2012-02-08	24	Closed
2018-03-01	8	Pending
2018-03-02	5	Pending
2018-03-02	22	Closed
2018-03-02	2	Assigned
2018-03-01	1	Assigned
2018-03-03	15	Closed
2018-03-04	20	Closed
2018-03-03	1	Pending
2018-03-04	6	Pending
2018-02-23	35	Closed
2018-02-24	17	Closed
2018-02-24	2	Assigned
2018-02-25	21	Closed
2018-02-24	9	Pending
2018-01-02	25	Closed
2018-01-02	9	Pending
2018-02-25	10	Pending
2018-02-25	1	Assigned
2018-03-09	6	Pending
2018-03-09	29	Closed
2018-03-09	1	Assigned
2018-01-07	10	Closed
2018-03-10	23	Closed
2018-03-10	6	Pending
2018-03-10	1	Assigned
2018-03-11	11	Closed
2018-03-11	4	Pending
2018-03-12	40	Closed
2018-03-12	5	Pending
2018-03-12	2	Assigned
2018-03-13	34	Closed
2018-03-14	24	Closed
2018-03-14	14	Pending
2018-03-13	8	Pending
2018-03-14	1	Assigned
2018-03-05	42	Closed
2018-03-05	10	Pending
2018-03-06	48	Closed
2018-03-06	12	Pending
2018-03-07	26	Closed
2018-01-08	13	Pending
2018-03-07	6	Pending
2018-03-07	5	Assigned
2018-03-08	29	Closed
2018-03-08	9	Pending
2018-03-17	6	Pending
2018-03-17	14	Closed
2018-03-17	1	Assigned
2018-03-19	11	Pending
2018-03-18	15	Closed
2018-01-16	7	Assigned
2018-03-18	7	Pending
2018-03-20	31	Closed
2018-03-19	4	Assigned
2018-03-19	26	Closed
2018-01-17	20	Closed
2018-03-20	16	Pending
2018-03-20	3	Assigned
2018-03-21	29	Closed
2018-03-21	6	Pending
2018-03-22	20	Closed
2018-03-22	7	Pending
2018-03-23	20	Closed
2018-03-23	9	Pending
2018-01-12	3	Pending
2018-03-24	14	Closed
2018-03-24	3	Assigned
2018-03-24	3	Pending
2018-03-25	16	Closed
2018-03-26	11	Pending
2018-03-25	4	Pending
2018-03-26	24	Closed
2018-03-25	2	Assigned
2018-01-13	6	Assigned
2018-03-27	34	Closed
2018-03-15	31	Closed
2018-03-15	8	Pending
2018-03-15	1	Assigned
2018-03-16	33	Closed
2018-03-16	8	Pending
2018-03-16	1	Assigned
2018-04-05	35	Closed
2018-04-05	8	Pending
2018-04-07	23	Closed
2018-04-06	25	Closed
2018-04-06	7	Pending
2018-04-06	3	Assigned
2018-04-07	10	Pending
2018-04-07	1	Assigned
2018-01-25	21	Closed
2018-04-08	27	Closed
2018-04-09	3	Assigned
2018-04-08	1	Assigned
2018-04-08	9	Pending
2018-03-27	8	Pending
2018-03-28	10	Pending
2018-01-26	10	Pending
2018-03-27	2	Assigned
2018-03-28	17	Closed
2018-03-29	28	Closed
2018-03-29	14	Pending
2018-03-29	2	Assigned
2018-03-30	32	Closed
2018-03-30	11	Pending
2018-03-31	28	Closed
2018-04-01	16	Closed
2018-03-31	2	Pending
2018-03-31	2	Assigned
2018-04-01	5	Pending
2018-04-01	1	Assigned
2018-04-02	42	Closed
2018-04-02	13	Pending
2018-04-03	3	Assigned
